Date,Equal Weight,Custom Weight,SPY Benchmark
2021-11-12,28855.240235680478,25497.90831972264,14795.221980177264
2021-11-15,28721.793500966887,25417.653162125334,14800.288227858238
2021-11-16,28940.374924735956,25619.640077329885,14858.868520154758
2021-11-17,28805.125296683997,25635.77253100392,14822.77099014631
2021-11-18,29932.12374108919,26416.38597696699,14873.116053553758
2021-11-19,30567.93833318263,26871.240693339154,14846.518253228636
2021-11-22,30182.4909815391,26632.29783134445,14804.723770986577
2021-11-23,30077.089685758507,26555.69618151415,14824.353934905866
2021-11-24,30409.910784062526,26753.067362159556,14863.93167614675
2021-11-26,29478.62933839115,25961.674011582,14532.420172075103
2021-11-29,30484.927523275397,26716.455101245934,14710.682836612212
2021-11-30,30410.35720573607,26750.099732630246,14424.449117704042
2021-12-01,29978.42838431182,26496.727762814677,14264.23264176367
2021-12-02,30118.97069469893,26529.302889742918,14482.706843783282
2021-12-03,29355.99075271847,25959.51774154519,14356.691661941471
2021-12-06,29453.597951766293,26174.061334930237,14526.722189278496
2021-12-07,30845.561730706086,27241.903974446792,14827.205502711658
2021-12-08,30890.785864748195,27390.812437427736,14866.465830550234
2021-12-09,30370.469309296564,27067.13948467178,14766.09414770064
2021-12-10,30844.010632784244,27625.42639834638,14905.094423273184
2021-12-13,29843.67548328681,26922.98038068714,14773.059722980484
2021-12-14,29501.864360981104,26519.295289518348,14671.421478210643
2021-12-15,30707.618139040576,27422.7460732833,14900.663002396821
2021-12-16,29311.190603175222,26299.379681936607,14769.260037219752
2021-12-17,29012.89707695121,26086.78790119177,14612.072385920223
2021-12-20,28789.63985192397,25861.28869313757,14456.697494928023
2021-12-21,29663.652732615228,26550.398964677886,14713.432378681546
2021-12-22,30104.196337385907,26964.212969596847,14860.548337835797
2021-12-23,30267.55153670939,27095.76895892034,14953.011480265579
2021-12-27,31177.481706661383,27834.66533743883,15164.62831611977
2021-12-28,30871.903165590265,27619.364649932624,15152.235796110874
2021-12-29,30789.237441388763,27589.094250635044,15171.619655474475
2021-12-30,30500.82509102363,27355.298683582532,15129.676772161207
2021-12-31,30314.85367358069,27187.508823095195,15091.549033053589
2022-01-03,30764.287598052477,27539.927080632213,15178.927377668495
2022-01-04,30175.38664370768,27059.27070126346,15173.84361041661
2022-01-05,28942.717687207984,26044.339713438912,14882.471504417848
2022-01-06,28906.04263891487,25896.423818509313,14868.49191739742
2022-01-07,28602.131450990677,25740.82362619349,14809.70860419098
2022-01-10,28663.756110189115,25778.467840429148,14791.280076723284
2022-01-11,28991.11387979799,26053.290856659125,14926.004546431637
2022-01-12,29180.117160735463,26223.018705166607,14966.359332170376
2022-01-13,28088.68846950556,25312.76517935816,14760.141615844384
2022-01-14,28431.721189821208,25613.809527332516,14766.177623303187
2022-01-18,27656.502044605044,24973.302645117514,14504.678446826078
2022-01-19,27185.862964807835,24624.527514776106,14354.064756868484
2022-01-20,26708.90858848235,24286.269240964466,14195.19419619893
2022-01-21,26144.767639437017,23826.77967397776,13916.53202361137
2022-01-24,26111.634679813327,23790.953615186896,13975.634811346103
2022-01-25,25390.841518588124,23216.23250889404,13805.00449634628
2022-01-26,25797.075219667142,23568.78112485094,13770.369335227031
2022-01-27,25549.81780031158,23469.094630341275,13702.372788849738
2022-01-28,26730.992674888075,24579.418793168596,14042.678086953478
2022-01-31,27684.535819526536,25277.300146402144,14295.599887627342
2022-02-01,27666.97027087436,25226.671831689528,14392.196618228074
2022-02-02,28098.4011425394,25575.038516155775,14532.00279406232
2022-02-03,27096.826212852768,24743.29898547054,14190.42784234935
2022-02-04,27362.203188696058,24957.428157780072,14257.152673991426
2022-02-07,27328.214339670925,24836.276920545795,14211.400829850476
2022-02-08,27745.687525963567,25215.232122151516,14328.33056833275
2022-02-09,28612.593208947063,25839.87771847906,14538.038801521123
2022-02-10,27802.265605644487,25132.206613171245,14276.85291619434
2022-02-11,26717.053505952583,24319.972520994354,13995.33196186003
2022-02-14,26846.776277841785,24397.086694500318,13949.575995467103
2022-02-15,28041.519448818395,25251.96932931842,14174.540683226094
2022-02-16,28023.266707318566,25229.197351630668,14190.427842349349
2022-02-17,26844.960298822414,24337.629670643142,13887.300104272294
2022-02-18,26359.21921731579,23980.987630108808,13797.37729962396
2022-02-22,26102.652259385457,23752.007521061147,13649.311161388776
2022-02-23,25279.205170790083,23056.561664302273,13407.1896608973
2022-02-24,26362.57397532295,23961.95760111907,13608.957406213029
2022-02-25,26708.986592799956,24257.262517378153,13909.224301417344
2022-02-28,26851.915022519086,24367.24387737741,13873.636900091175
2022-03-01,26299.51821708992,23947.17325260897,13662.338508202285
2022-03-02,26914.733209916074,24466.98028862934,13913.67221130162
2022-03-03,26581.91172652685,24206.14762231341,13844.403950189113
2022-03-04,25946.654379570427,23670.799241277797,13731.923152154108
2022-03-07,24817.48768685895,22761.60061220664,13327.118007913423
2022-03-08,24692.902755366096,22589.943938447715,13226.077489680394
2022-03-09,25932.30521272503,23635.560140110054,13580.677727080885
2022-03-10,25476.40133765731,23210.051511158315,13519.35201496701
2022-03-11,24900.086892684863,22694.314713813725,13347.455138046942
2022-03-14,24282.854360966365,22177.39003351044,13249.907197802282
2022-03-15,25460.149180145618,23125.996508286134,13541.277242675054
2022-03-16,26483.00130950302,23934.261828509545,13841.54413787937
2022-03-17,26662.163375799057,24075.80305801321,14014.715821223635
2022-03-18,27610.30961562841,24775.211920136197,14168.215087565839
2022-03-21,27747.745271863354,24870.563788320043,14164.072224327938
2022-03-22,28018.975138299826,25201.363501548476,14329.81354848184
2022-03-23,27642.114949908762,24963.731995968927,14145.267541367246
2022-03-24,28897.267952649443,25833.93125391824,14358.498238870832
2022-03-25,28763.210257446157,25774.180164380738,14428.619806142788
2022-03-28,29215.597384082193,26162.529321759237,14531.248421950348
2022-03-29,29700.380914385853,26602.44599154545,14711.013647333442
2022-03-30,29252.156736633726,26300.0362192092,14620.174672182995
2022-03-31,28764.148931499934,25850.270005617545,14395.152272896312
2022-04-01,28580.49388277941,25760.968457263774,14435.953292411672
2022-04-04,29208.20663512609,26314.927886228535,14559.615698937032
2022-04-05,28388.850227130395,25703.979312154395,14375.709671442026
2022-04-06,27311.703141260736,24835.77979863099,14231.963653279796
2022-04-07,27310.742205394617,24875.230233838774,14303.674348689276
2022-04-08,26659.88913806569,24387.65978571135,14265.429125400282
2022-04-11,25620.692521830006,23500.501215003544,14021.598951463922
2022-04-12,25462.369667525247,23414.804577855826,13969.649301474032
2022-04-13,26044.27355574915,23904.712977999814,14129.650389748555
2022-04-14,25179.304078702553,23155.504827606146,13953.70958363806
2022-04-18,25396.111024504502,23280.388839314302,13959.446727828456
2022-04-19,25821.124297221966,23659.211731137166,14184.789632206432
2022-04-20,25566.743079791166,23532.138030093807,14174.27067572154
2022-04-21,24844.96047084811,23019.520839910594,13962.316845768146
2022-04-22,24140.49624735322,22388.651525196714,13579.200930309766
2022-04-25,24550.739743389564,22756.41993235739,13657.927698585821
2022-04-26,23481.093511905725,21821.411000672062,13262.385254539726
2022-04-27,23690.775307927266,22141.888980228003,13299.67411536982
2022-04-28,24812.30191130412,23071.000405616905,13635.618070880824
2022-04-29,23647.390162795677,22059.27517206188,13131.704714021802
2022-05-02,24279.341341445474,22532.143166196805,13210.748895700164
2022-05-03,24309.275870153317,22549.56120995324,13271.308899509124
2022-05-04,25179.973066046296,23350.349532658736,13675.45860568531
2022-05-05,23731.726094497648,22080.938326038588,13189.392538765085
2022-05-06,23623.450421061425,21999.650370229723,13110.666801052024
2022-05-09,22343.813734264502,20976.055620283772,12690.897882131158
2022-05-10,22885.730826187657,21426.90785958796,12720.22358270273
2022-05-11,21818.520760297157,20462.92142765408,12518.147699051642
2022-05-12,21278.788396358377,19967.45705466744,12505.077068592365
2022-05-13,22336.8051349783,20780.84304863658,12804.049576675585
2022-05-16,22082.313529686726,20600.476672486362,12752.094773870722
2022-05-17,22808.46127975516,21195.492656215945,13014.410156239477
2022-05-18,21515.133507776674,20042.202110317783,12489.781452627954
2022-05-19,21390.634169841807,19859.012781499398,12413.284822672003
2022-05-20,21207.708172453316,19754.95524067068,12418.703522897098
2022-05-23,21804.15182616772,20373.376850163848,12651.057347326676
2022-05-24,21315.760172455226,20005.16815878428,12554.482258548827
2022-05-25,21764.340017510727,20307.021733987556,12665.40175364716
2022-05-26,22400.437994115793,20809.63924068473,12918.474016518223
2022-05-27,23312.432483731005,21602.489545900415,13235.609166816559
2022-05-31,23174.504392318777,21481.04200011475,13161.3447363067
2022-06-01,23037.761888325895,21409.932682211635,13054.889640100555
2022-06-02,23760.933664098466,21919.112762237208,13303.498534642424
2022-06-03,22971.507098841495,21240.346035112303,13085.169642005034
2022-06-06,23002.520310735657,21259.78048625461,13125.011207372512
2022-06-07,23301.49365012222,21559.679028114508,13250.90890503295
2022-06-08,23090.276046677154,21387.603316597113,13106.844442905418
2022-06-09,22405.924792950573,20764.56880849395,12795.122840017206
2022-06-10,21340.1471395293,19826.45536087473,12424.122223122198
2022-06-13,20210.002728405798,18876.477945164286,11952.398501396468
2022-06-14,20398.337792888964,19041.965681432557,11916.384446990573
2022-06-15,21033.95700345702,19587.813796499893,12086.26760381938
2022-06-16,20174.01413809611,18846.328832996787,11686.257669192115
2022-06-17,20445.40314889732,19083.15490371972,11711.451842718723
2022-06-21,21130.668240769028,19685.808903652436,12006.271181934097
2022-06-22,20999.189983792796,19587.782048570847,11984.508783179179
2022-06-23,21250.88904994825,19901.848115423807,12101.98472004854
2022-06-24,22059.829079221647,20589.915842842092,12486.754689113097
2022-06-27,21872.297105965223,20441.66821562238,12439.05817260152
2022-06-28,21040.27299536874,19723.51615537228,12184.891451830297
2022-06-29,21041.89269219659,19833.939640082055,12174.97022188222
2022-06-30,20650.16315810085,19488.603317019304,12076.054724543854
2022-07-01,20546.337511276444,19534.55015107302,12203.777549267554
2022-07-05,20970.23113400326,19899.538304300037,12226.825060076613
2022-07-06,21204.283983571353,20121.910611854753,12268.119719266339
2022-07-07,21772.15146189473,20574.928922107218,12451.860856682226
2022-07-08,21777.204339600343,20585.849623801852,12441.618091079863
2022-07-11,21270.233588060215,20189.094600665965,12299.490056819002
2022-07-12,20995.36671041467,19894.67406155124,12190.652298969564
2022-07-13,20989.455974433393,19866.31957216467,12126.63063406207
2022-07-14,21266.380894400412,20126.34816211062,12097.181265931158
2022-07-15,21601.050465860586,20404.29806040873,12328.299445330325
2022-07-18,21537.9955927708,20245.056297129056,12226.505585548315
2022-07-19,22276.228122297853,20853.689710383504,12556.85564512516
2022-07-20,22811.087473693624,21254.49034326546,12636.881953337284
2022-07-21,23104.130415980704,21524.13758108672,12765.566293334856
2022-07-22,22599.497168705766,21134.32735635054,12647.126780065637
2022-07-25,22371.180346863137,20950.10748263789,12662.492474313674
2022-07-26,21890.630350009822,20530.925557108105,12512.681592928797
2022-07-27,23183.025827379603,21673.277772947247,12837.590279894666
2022-07-28,23515.451872568843,21998.94189618926,12998.605442155776
2022-07-29,23973.310320120298,22469.145873357236,13188.108457273927
2022-08-01,23968.740072834364,22395.224578955127,13149.05424203425
2022-08-02,23839.6848827993,22229.880847816927,13062.30660197198
2022-08-03,24522.248407271676,22905.57222678983,13266.855836809873
2022-08-04,24679.965362583836,23004.277380438638,13257.893030446681
2022-08-05,24550.314650286124,22913.374472993008,13235.486529820202
2022-08-08,23936.21716735764,22514.226697089845,13220.12186613516
2022-08-09,23677.95900072133,22401.647977964072,13167.6229260692
2022-08-10,24543.51930201913,23119.22493735544,13444.1961474669
2022-08-11,24376.643042224503,22970.197981031008,13444.1961474669
2022-08-12,25036.531030930266,23519.985584305494,13671.792893113852
2022-08-15,25278.06844075074,23711.06192163264,13728.129649771341
2022-08-16,25180.723266241785,23639.61220727562,13755.021160549897
2022-08-17,24990.4730749262,23561.51989277031,13657.386653013698
2022-08-18,25137.49533601691,23615.287233232062,13697.080847872961
2022-08-19,24482.450817208573,23109.30113950534,13513.016113676802
2022-08-22,23682.321111856178,22414.034946058582,13231.643560413699
2022-08-23,23697.19620429326,22392.243368384305,13199.634273804444
2022-08-24,23711.64073832471,22397.936262096435,13241.885295453068
2022-08-25,24234.41621414374,22810.774665824214,13428.82942265587
2022-08-26,22872.714638896032,21693.717750250773,12974.275910981552
2022-08-29,22471.783678400963,21359.876747099013,12888.487725067163
2022-08-30,22135.44542651574,21066.27153581748,12747.000700988885
2022-08-31,21836.48465724611,20826.719044818747,12650.008234198262
2022-09-01,21283.014046080734,20512.55228564101,12689.703459620521
2022-09-02,20920.59380742824,20178.756820980387,12555.89412985129
2022-09-06,20693.778476864853,19970.051769823152,12508.519148993995
2022-09-07,21019.088054342617,20271.70284397536,12733.235471071312
2022-09-08,21104.380680554805,20288.81920752769,12816.461677381369
2022-09-09,21598.18302086086,20743.33450644021,13015.568509045292
